Image_id,material_image_id,style_tags,design_description,user_preference,material_type,color_palette
202,202,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,tile,"#523F37, #3F905A, #16EE53"
203,203,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,wood,"#D2E959, #2EE1F2, #223C5F"
204,204,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,tile,"#E05DF5, #41599D, #4E7B48"
205,205,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,stone,"#1A65DD, #6F6632, #0BA776"
206,206,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,stone,"#206D70, #3FAAA1, #A7234E"
207,207,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,leather,"#AFD92F, #492919, #93D9B4"
208,208,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",stone,"#46CB06, #99623F, #22AACE"
209,209,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,tile,"#974D71, #9F0FB1, #CF2CB7"
210,210,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,metal,"#0BE47C, #2B3446, #DC4712"
211,211,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,stone,"#5952DD, #C49959, #FF440B"
212,212,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,wood,"#417D91, #725C64, #CDDDAD"
213,213,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,glass,"#D9802E, #2E564C, #E686E2"
214,214,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,wood,"#6EAC3A, #1FF44F, #A07BDE"
215,215,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,fabric,"#BCB365, #00E88F, #40DB8A"
216,216,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,metal,"#223BE8, #F5D1D1, #9C861E"
217,217,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,leather,"#B59564, #2E752B, #F12592"
218,218,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",fabric,"#34ABB6, #9236A1, #DC0082"
219,219,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",marble,"#06F5B4, #6BFC1B, #27325D"
220,220,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,metal,"#FFFF37, #BC148C, #70B572"
221,221,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,glass,"#A5DBDC, #AF2961, #75826B"
222,222,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,tile,"#8759E0, #243E1F, #E632CC"
223,223,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,wood,"#788B73, #F9017E, #924D8F"
224,224,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,glass,"#CD9182, #140425, #490DE1"
225,225,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",wood,"#D868D5, #854E7A, #091F20"
226,226,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,stone,"#6B5AFA, #CDEFCA, #8390B5"
227,227,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,stone,"#47307B, #FECAA1, #64AB96"
228,228,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",fabric,"#B7AA24, #BA519F, #EE635A"
229,229,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,metal,"#D3BECD, #414787, #9A7DCC"
230,230,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,tile,"#AF9364, #6AB9D9, #E2B7F8"
231,231,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,stone,"#226BA7, #74A14A, #5E6B13"
232,232,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,leather,"#E739EC, #C29B1E, #4C21EC"
233,233,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,fabric,"#6AB242, #BB7F35, #FD8A08"
234,234,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,fabric,"#ACD48A, #A2F01B, #2CB85C"
235,235,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,tile,"#6F34A7, #0A11FA, #B40431"
236,236,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,marble,"#9EA903, #AB0489, #EDECC8"
237,237,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,glass,"#E54C2E, #C03F22, #C7CC18"
238,238,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,fabric,"#D1DD58, #1BFFFC, #635299"
239,239,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",marble,"#209983, #96F3CA, #48E21C"
240,240,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,stone,"#9AA123, #202E7A, #A58A55"
241,241,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,stone,"#5717FC, #A1E622, #162E08"
242,242,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,glass,"#BAA589, #725159, #6C1056"
243,243,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,metal,"#B0FF20, #CFBFB9, #4279E6"
244,244,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,fabric,"#380CA2, #2F8B1E, #3E4484"
245,245,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,metal,"#3E85CE, #1B599A, #3AC11B"
246,246,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,marble,"#160E43, #DC5BB5, #E0B4CE"
247,247,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",wood,"#C83CB9, #1C9CE1, #B0DF99"
248,248,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,glass,"#A0F063, #EBFCF3, #85E5D1"
249,249,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,wood,"#6FF55D, #9C8F83, #1CEFCA"
250,250,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,tile,"#23C565, #CDBACC, #A4B223"
251,251,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,fabric,"#53C0E3, #4647F4, #CD3D44"
252,252,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,glass,"#6060C9, #2D451F, #D664C8"
253,253,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,glass,"#6301C3, #2187D3, #B1F63D"
254,254,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,glass,"#54A52A, #AD64F0, #2C2AF8"
255,255,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,stone,"#BA7641, #F77C7B, #D0AC0B"
256,256,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,tile,"#FBD53F, #926065, #A641E9"
257,257,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,tile,"#2FACC5, #3CA2BE, #CC6F7A"
258,258,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,tile,"#021E20, #93797D, #302593"
259,259,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,metal,"#E2B13A, #390438, #00B563"
260,260,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,fabric,"#EC3D7F, #0518FB, #1BEC84"
261,261,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,metal,"#693A4B, #D1B1B6, #BA7C1A"
262,262,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,wood,"#A88040, #CCFE71, #564667"
263,263,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,wood,"#E98DA5, #8A55A7, #7B3490"
264,264,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,metal,"#01B53E, #EDA0DE, #0281AF"
265,265,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,leather,"#8AC156, #72DAB9, #0BA0D4"
266,266,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",leather,"#920191, #BA0E5C, #D758B6"
267,267,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,marble,"#376476, #994083, #FD15F6"
268,268,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,wood,"#CE874F, #EB1D7B, #7896AE"
269,269,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",fabric,"#7E0B0D, #0B558D, #585E0D"
270,270,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,tile,"#FE4BD8, #6D4C65, #C80279"
271,271,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,fabric,"#5770E5, #28AE02, #C70CC2"
272,272,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,marble,"#63E23C, #E8A42B, #464D7B"
273,273,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,fabric,"#0EA83B, #24A9A1, #88505B"
274,274,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,glass,"#939738, #6B7FF3, #A34250"
275,275,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,leather,"#10CE15, #9F9BA0, #21B182"
276,276,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,wood,"#68C8BC, #ABCFF4, #D122B0"
277,277,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,fabric,"#70E846, #6D9A27, #FD09EF"
278,278,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,leather,"#935917, #E2F931, #D333CC"
279,279,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,marble,"#59E9C8, #888DC9, #AA6EBA"
280,280,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,glass,"#76E498, #C0CCB6, #9C1C14"
281,281,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,glass,"#F234D9, #5D4D39, #5B6D5E"
282,282,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",metal,"#E11168, #9353AC, #CD2BB1"
283,283,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,fabric,"#C8DB59, #C568DA, #5DF99E"
284,284,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,tile,"#08FADF, #7FFB56, #630CEA"
285,285,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,tile,"#FE5FCD, #532304, #09FDF4"
286,286,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,marble,"#D20F39, #B5FFCF, #62CDA2"
287,287,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,stone,"#E7CA9D, #9A88FC, #93CD71"
288,288,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,glass,"#CEB645, #47BE4A, #DE2736"
289,289,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",stone,"#81D569, #2B3660, #66E32E"
290,290,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,tile,"#E1AB33, #B2DBAF, #4D6E8B"
291,291,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,stone,"#EE16F2, #6FAE16, #9F9DE7"
292,292,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,marble,"#3B9168, #0AE579, #BF0B2E"
293,293,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,wood,"#55DB6B, #3BC05E, #EAD012"
294,294,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,fabric,"#38DBC4, #F4D634, #2BAEFC"
295,295,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,glass,"#E024BD, #B492BB, #BE4497"
296,296,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,stone,"#F7F6DA, #8F0D70, #0FF01B"
297,297,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,glass,"#55922B, #6FA6A2, #8109D2"
298,298,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,glass,"#09E104, #869130, #B9BBE3"
299,299,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,marble,"#E0E932, #5F3A9E, #9FEAC2"
300,300,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",wood,"#4F579B, #F6BE63, #1CF941"
301,301,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,tile,"#8B26DB, #6ACFA2, #DC9C17"
302,302,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,leather,"#4DE2A2, #6DAE3E, #EEB881"
303,303,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,leather,"#ADA540, #81242A, #0B6B51"
304,304,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,wood,"#074299, #4350DE, #E7353E"
305,305,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,glass,"#755534, #562890, #0CDB44"
306,306,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,fabric,"#7100C4, #27DEBA, #3109AE"
307,307,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,metal,"#268B86, #109A3C, #63EC31"
308,308,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,wood,"#82B191, #B571F3, #379E22"
309,309,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",stone,"#6C40B2, #E8EF21, #7ACB97"
310,310,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,glass,"#2C7951, #101D27, #639D3D"
311,311,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,wood,"#136948, #C52A15, #D7D512"
312,312,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",metal,"#856F19, #D85717, #D14C05"
313,313,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,glass,"#C51F29, #9843DF, #CF267C"
314,314,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,glass,"#E6C193, #3182D2, #7E5311"
315,315,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,metal,"#1A5FB5, #118029, #5911F4"
316,316,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,metal,"#A135BE, #DD4231, #1712D2"
317,317,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,marble,"#5790E5, #E21014, #434567"
318,318,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,leather,"#2AC902, #61246E, #1F3346"
319,319,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,glass,"#B05605, #E00788, #C34587"
320,320,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,stone,"#BD2059, #747609, #B3587A"
321,321,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,marble,"#42CF36, #B724BE, #984792"
322,322,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,glass,"#80422D, #D0AD37, #70D5DC"
323,323,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,wood,"#E29B86, #F55FB5, #429012"
324,324,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",wood,"#1F7433, #DD208A, #F038CC"
325,325,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,fabric,"#DF1A64, #F9F2E5, #DC0B4B"
326,326,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,tile,"#21ED94, #262D05, #20BDC7"
327,327,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,leather,"#BDCD14, #150AF5, #56BFA4"
328,328,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,wood,"#0CD463, #6F46E9, #DC2D42"
329,329,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,tile,"#48C77F, #CC4FA0, #5BF5D5"
330,330,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,tile,"#299A72, #EC422D, #688FD3"
331,331,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,marble,"#9DCF2D, #FCBD2C, #AACAF0"
332,332,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,marble,"#E0866D, #7F0F9B, #F08CAD"
333,333,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,stone,"#3246B0, #2228AD, #0B81A5"
334,334,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,marble,"#66229C, #CD51D7, #B2B475"
335,335,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,fabric,"#68BB84, #9FAC56, #E9936C"
336,336,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,metal,"#20E0CA, #94076F, #5EE451"
337,337,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",fabric,"#9AC45D, #024D77, #86D6B2"
338,338,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,stone,"#BDCA9B, #A2F3EC, #064E2B"
339,339,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,wood,"#06EA26, #F01C82, #7CE294"
340,340,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",tile,"#420CA3, #AEF889, #F2ADF7"
341,341,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,marble,"#58B1EE, #C8F53A, #4F7262"
342,342,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,marble,"#EFDFBB, #A6C178, #061F6F"
343,343,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,stone,"#67CDD4, #D1F7FD, #C2C81C"
344,344,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,glass,"#C4CF5A, #C70702, #96F147"
345,345,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,metal,"#3078CD, #361380, #B29474"
346,346,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,marble,"#68B3AC, #E6F615, #97F4E7"
347,347,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,stone,"#BA96F1, #0FFC79, #C34749"
348,348,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,leather,"#0D8791, #E33A5B, #7B1C65"
349,349,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,wood,"#A17A05, #CB6C5E, #C1F263"
350,350,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,marble,"#CC38C3, #C785B9, #B52502"
351,351,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",metal,"#EE9339, #0270F9, #114ABA"
352,352,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,wood,"#A97F2E, #ED7347, #5FCA50"
353,353,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,leather,"#B419B8, #44E699, #3458AB"
354,354,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",wood,"#FAF40A, #5A309A, #4E5437"
355,355,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",glass,"#82203F, #62454E, #7A181D"
356,356,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,wood,"#15AD3D, #4CEA72, #82F1F1"
357,357,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,tile,"#BD647F, #C8B995, #1E5260"
358,358,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,metal,"#FB44FC, #3A436A, #3EAD13"
359,359,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,marble,"#A71D33, #5D0628, #E01956"
360,360,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,wood,"#FB6AD8, #7A26B3, #45031B"
361,361,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,metal,"#7E71A2, #26E17A, #E8B8A8"
362,362,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,tile,"#1B6246, #2C98CC, #75F247"
363,363,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",metal,"#291C36, #2FF360, #118C4B"
364,364,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",wood,"#859BFA, #763D59, #6E2EE5"
365,365,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,marble,"#CD26B7, #9D0C8D, #54AF82"
366,366,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,leather,"#A96CEB, #21AF23, #7F78DB"
367,367,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",tile,"#233AA1, #87961F, #73FBEB"
368,368,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,marble,"#F10EF3, #1FD7C1, #F76071"
369,369,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,fabric,"#0D9DEA, #CA8F07, #D33F7A"
370,370,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,marble,"#83B00A, #4BF6AC, #7E4E60"
371,371,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,stone,"#4D5F33, #3A496C, #6AADA8"
372,372,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,leather,"#DA239C, #49F9A9, #5AE542"
373,373,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,stone,"#89072F, #E80334, #04EFCB"
374,374,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",wood,"#995BA4, #548C6E, #994F0D"
375,375,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,stone,"#85D45E, #D0CBB0, #0FF36C"
376,376,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,marble,"#D4FC33, #2BD13C, #1B5E1F"
377,377,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,glass,"#3E068F, #CD3D13, #9A8D23"
378,378,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,leather,"#0D8647, #A752B7, #3C6E33"
379,379,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,glass,"#0C426A, #5B1E64, #FFF07D"
380,380,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,wood,"#C0B4A6, #9854C8, #A57FE7"
381,381,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,fabric,"#23DC07, #EFE3C6, #5F418A"
382,382,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,wood,"#0F7035, #8A8A00, #13A3FB"
383,383,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,glass,"#25F54A, #571975, #F0B5D6"
384,384,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,stone,"#E69AFA, #F9FD4D, #0A051C"
385,385,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,marble,"#50F742, #141F94, #5E8594"
386,386,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,tile,"#4B734A, #6EF144, #3579F2"
387,387,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,glass,"#6DF02E, #9EEEA3, #B56A98"
388,388,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,fabric,"#8A6194, #693A09, #8F8368"
389,389,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,stone,"#BCE21E, #7FF948, #7114C0"
390,390,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,wood,"#A259E9, #667FE9, #5CD605"
391,391,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,fabric,"#729DCF, #717B9A, #BA96E0"
392,392,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,wood,"#C0EFD1, #CE5836, #9B65EC"
393,393,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,leather,"#AC42C7, #2C10C9, #487066"
394,394,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,leather,"#91B7B5, #A0ADA1, #51994E"
395,395,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,marble,"#E17D24, #A61BC8, #8C4224"
396,396,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,leather,"#3B858A, #1767EA, #F47B72"
397,397,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,glass,"#D40B61, #43B19A, #12DF98"
398,398,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,fabric,"#047773, #A37A3C, #980CA1"
399,399,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,stone,"#E2397B, #E1ED2A, #2D276E"
400,400,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,wood,"#AD6244, #3E8BF5, #72C0B1"
401,401,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,stone,"#DCEC4A, #E4826A, #BA307C"
402,402,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,metal,"#DD5ED9, #3D7451, #2AF9D6"
